

# Contour value=10.00 
mST_GeV,deltaM_GeV
5.3361e+02,1.0000e+01
5.3421e+02,1.2462e+01
5.3480e+02,1.4925e+01
5.3530e+02,1.7387e+01
5.3577e+02,1.9849e+01
5.3624e+02,2.2312e+01
5.3671e+02,2.4774e+01
5.3756e+02,2.7236e+01
5.3846e+02,2.9698e+01
5.3935e+02,3.2161e+01
5.4024e+02,3.4623e+01
5.4113e+02,3.7085e+01
5.4193e+02,3.9548e+01
5.4242e+02,4.2010e+01
5.4283e+02,4.4472e+01
5.4324e+02,4.6935e+01
5.4365e+02,4.9397e+01
5.4413e+02,5.1859e+01
5.4422e+02,5.2312e+01
5.4463e+02,5.4322e+01
5.4514e+02,5.6784e+01
5.4564e+02,5.9246e+01
5.4614e+02,6.1709e+01
5.4665e+02,6.4171e+01
5.4715e+02,6.6633e+01
5.4765e+02,6.9095e+01
5.4816e+02,7.1558e+01
5.4844e+02,7.4020e+01
5.4866e+02,7.6482e+01
5.4890e+02,7.8945e+01
5.4899e+02,8.1407e+01
5.4908e+02,8.3869e+01
5.4917e+02,8.6332e+01
5.4927e+02,8.8794e+01
5.4936e+02,9.1256e+01
5.4945e+02,9.3719e+01
5.4954e+02,9.6181e+01
5.4963e+02,9.8643e+01
5.4988e+02,1.0111e+02
5.5033e+02,1.0357e+02
5.5078e+02,1.0603e+02
5.5122e+02,1.0849e+02
5.5167e+02,1.1095e+02
5.5212e+02,1.1342e+02
5.5256e+02,1.1588e+02
5.5301e+02,1.1834e+02
5.5346e+02,1.2080e+02
5.5391e+02,1.2327e+02
5.5435e+02,1.2573e+02
5.5480e+02,1.2819e+02
5.5525e+02,1.3065e+02
5.5569e+02,1.3312e+02
5.5614e+02,1.3558e+02
5.5659e+02,1.3804e+02
5.5704e+02,1.4050e+02
5.5742e+02,1.4296e+02
5.5766e+02,1.4543e+02
5.5779e+02,1.4677e+02
5.5789e+02,1.4789e+02
5.5811e+02,1.5035e+02
5.5833e+02,1.5281e+02
5.5855e+02,1.5528e+02
5.5877e+02,1.5774e+02
5.5899e+02,1.6020e+02
5.5921e+02,1.6266e+02
5.5943e+02,1.6513e+02
5.5966e+02,1.6759e+02
5.5988e+02,1.7005e+02
5.6010e+02,1.7251e+02
5.6032e+02,1.7497e+02
5.6054e+02,1.7744e+02
5.6076e+02,1.7990e+02
5.6098e+02,1.8236e+02
5.6120e+02,1.8482e+02
5.6142e+02,1.8729e+02
5.6164e+02,1.8975e+02
5.6186e+02,1.9221e+02
5.6208e+02,1.9467e+02
5.6230e+02,1.9714e+02
5.6252e+02,1.9960e+02
5.6286e+02,2.0206e+02
5.6321e+02,2.0452e+02
5.6356e+02,2.0698e+02
5.6391e+02,2.0945e+02
5.6426e+02,2.1191e+02
5.6462e+02,2.1437e+02
5.6497e+02,2.1683e+02
5.6532e+02,2.1930e+02
5.6567e+02,2.2176e+02
5.6603e+02,2.2422e+02
5.6638e+02,2.2668e+02
5.6673e+02,2.2915e+02
5.6708e+02,2.3161e+02
5.6744e+02,2.3407e+02
5.6779e+02,2.3653e+02
5.6814e+02,2.3899e+02
5.6849e+02,2.4146e+02
5.6884e+02,2.4392e+02
5.6920e+02,2.4638e+02
5.6955e+02,2.4884e+02
5.6990e+02,2.5131e+02
5.7025e+02,2.5377e+02
5.7061e+02,2.5623e+02
5.7096e+02,2.5869e+02
5.7131e+02,2.6116e+02
5.7136e+02,2.6148e+02
5.7166e+02,2.6362e+02
5.7202e+02,2.6608e+02
5.7237e+02,2.6854e+02
5.7272e+02,2.7101e+02
5.7290e+02,2.7347e+02
5.7305e+02,2.7593e+02
5.7320e+02,2.7839e+02
5.7336e+02,2.8085e+02
5.7353e+02,2.8332e+02
5.7369e+02,2.8578e+02
5.7382e+02,2.8824e+02
5.7396e+02,2.9070e+02
5.7409e+02,2.9317e+02
5.7422e+02,2.9563e+02
5.7435e+02,2.9809e+02
5.7447e+02,3.0055e+02
5.7453e+02,3.0302e+02
5.7459e+02,3.0548e+02
5.7464e+02,3.0794e+02
5.7470e+02,3.1040e+02
5.7476e+02,3.1286e+02
5.7482e+02,3.1533e+02
5.7488e+02,3.1779e+02
5.7494e+02,3.2025e+02
5.7499e+02,3.2271e+02
5.7505e+02,3.2518e+02
5.7511e+02,3.2764e+02
5.7517e+02,3.3010e+02
5.7523e+02,3.3256e+02
5.7529e+02,3.3503e+02
5.7535e+02,3.3749e+02
5.7540e+02,3.3995e+02
5.7546e+02,3.4241e+02
5.7552e+02,3.4487e+02
5.7558e+02,3.4734e+02
5.7564e+02,3.4980e+02
5.7570e+02,3.5226e+02
5.7576e+02,3.5472e+02
5.7581e+02,3.5719e+02
5.7587e+02,3.5965e+02
5.7593e+02,3.6211e+02
5.7599e+02,3.6457e+02
5.7605e+02,3.6704e+02
5.7611e+02,3.6950e+02
5.7611e+02,3.7196e+02
5.7593e+02,3.7442e+02
5.7574e+02,3.7688e+02
5.7554e+02,3.7935e+02
5.7532e+02,3.8181e+02
5.7510e+02,3.8427e+02
5.7477e+02,3.8673e+02
5.7442e+02,3.8920e+02
5.7407e+02,3.9166e+02
5.7372e+02,3.9412e+02
5.7337e+02,3.9658e+02
5.7302e+02,3.9905e+02
5.7289e+02,4.0151e+02
5.7289e+02,4.0397e+02
5.7290e+02,4.0643e+02
5.7291e+02,4.0889e+02
5.7291e+02,4.1136e+02
5.7292e+02,4.1382e+02
5.7288e+02,4.1628e+02
5.7283e+02,4.1874e+02
5.7278e+02,4.2121e+02
5.7274e+02,4.2367e+02
5.7270e+02,4.2613e+02
5.7244e+02,4.2859e+02
5.7201e+02,4.3106e+02
5.7157e+02,4.3352e+02
5.7136e+02,4.3473e+02
5.7112e+02,4.3598e+02
5.7069e+02,4.3844e+02
5.7027e+02,4.4090e+02
5.6983e+02,4.4337e+02
5.6940e+02,4.4583e+02
5.6896e+02,4.4829e+02
5.6853e+02,4.5075e+02
5.6809e+02,4.5322e+02
5.6766e+02,4.5568e+02
5.6722e+02,4.5814e+02
5.6679e+02,4.6060e+02
5.6635e+02,4.6307e+02
5.6592e+02,4.6553e+02
5.6548e+02,4.6799e+02
5.6505e+02,4.7045e+02
5.6461e+02,4.7291e+02
5.6418e+02,4.7538e+02
5.6374e+02,4.7784e+02
5.6331e+02,4.8030e+02
5.6287e+02,4.8276e+02
5.6244e+02,4.8523e+02
5.6200e+02,4.8769e+02
5.6157e+02,4.9015e+02
5.6113e+02,4.9261e+02
5.6070e+02,4.9508e+02
5.6026e+02,4.9754e+02


# Contour value=12.00 
mST_GeV,deltaM_GeV
6.3080e+02,1.0000e+01
6.3140e+02,1.2462e+01
6.3166e+02,1.3526e+01
6.3200e+02,1.4925e+01
6.3260e+02,1.7387e+01
6.3319e+02,1.9849e+01
6.3355e+02,2.2312e+01
6.3388e+02,2.4774e+01
6.3496e+02,2.7236e+01
6.3612e+02,2.9698e+01
6.3727e+02,3.2161e+01
6.3769e+02,3.3094e+01
6.3838e+02,3.4623e+01
6.3888e+02,3.7085e+01
6.3933e+02,3.9548e+01
6.3978e+02,4.2010e+01
6.4023e+02,4.4472e+01
6.4068e+02,4.6935e+01
6.4113e+02,4.9397e+01
6.4149e+02,5.1859e+01
6.4182e+02,5.4322e+01
6.4216e+02,5.6784e+01
6.4249e+02,5.9246e+01
6.4282e+02,6.1709e+01
6.4315e+02,6.4171e+01
6.4349e+02,6.6633e+01
6.4372e+02,6.8363e+01
6.4382e+02,6.9095e+01
6.4415e+02,7.1558e+01
6.4465e+02,7.4020e+01
6.4517e+02,7.6482e+01
6.4570e+02,7.8945e+01
6.4624e+02,8.1407e+01
6.4677e+02,8.3869e+01
6.4730e+02,8.6332e+01
6.4783e+02,8.8794e+01
6.4837e+02,9.1256e+01
6.4890e+02,9.3719e+01
6.4943e+02,9.6181e+01
6.4975e+02,9.7649e+01
6.4996e+02,9.8643e+01
6.5036e+02,1.0111e+02
6.5058e+02,1.0357e+02
6.5080e+02,1.0603e+02
6.5102e+02,1.0849e+02
6.5124e+02,1.1095e+02
6.5146e+02,1.1342e+02
6.5169e+02,1.1588e+02
6.5191e+02,1.1834e+02
6.5213e+02,1.2080e+02
6.5235e+02,1.2327e+02
6.5257e+02,1.2573e+02
6.5279e+02,1.2819e+02
6.5301e+02,1.3065e+02
6.5324e+02,1.3312e+02
6.5346e+02,1.3558e+02
6.5368e+02,1.3804e+02
6.5390e+02,1.4050e+02
6.5412e+02,1.4296e+02
6.5434e+02,1.4543e+02
6.5457e+02,1.4789e+02
6.5479e+02,1.5035e+02
6.5501e+02,1.5281e+02
6.5523e+02,1.5528e+02
6.5546e+02,1.5774e+02
6.5569e+02,1.6020e+02
6.5578e+02,1.6114e+02
6.5592e+02,1.6266e+02
6.5615e+02,1.6513e+02
6.5638e+02,1.6759e+02
6.5661e+02,1.7005e+02
6.5684e+02,1.7251e+02
6.5707e+02,1.7497e+02
6.5731e+02,1.7744e+02
6.5754e+02,1.7990e+02
6.5777e+02,1.8236e+02
6.5800e+02,1.8482e+02
6.5823e+02,1.8729e+02
6.5846e+02,1.8975e+02
6.5869e+02,1.9221e+02
6.5892e+02,1.9467e+02
6.5915e+02,1.9714e+02
6.5938e+02,1.9960e+02
6.5973e+02,2.0206e+02
6.6009e+02,2.0452e+02
6.6046e+02,2.0698e+02
6.6083e+02,2.0945e+02
6.6120e+02,2.1191e+02
6.6157e+02,2.1437e+02
6.6181e+02,2.1600e+02
6.6193e+02,2.1683e+02
6.6230e+02,2.1930e+02
6.6267e+02,2.2176e+02
6.6304e+02,2.2422e+02
6.6341e+02,2.2668e+02
6.6377e+02,2.2915e+02
6.6414e+02,2.3161e+02
6.6444e+02,2.3407e+02
6.6470e+02,2.3653e+02
6.6491e+02,2.3899e+02
6.6506e+02,2.4146e+02
6.6520e+02,2.4392e+02
6.6535e+02,2.4638e+02
6.6549e+02,2.4884e+02
6.6564e+02,2.5131e+02
6.6578e+02,2.5377e+02
6.6592e+02,2.5623e+02
6.6607e+02,2.5869e+02
6.6621e+02,2.6116e+02
6.6636e+02,2.6362e+02
6.6650e+02,2.6608e+02
6.6665e+02,2.6854e+02
6.6679e+02,2.7101e+02
6.6694e+02,2.7347e+02
6.6708e+02,2.7593e+02
6.6723e+02,2.7839e+02
6.6737e+02,2.8085e+02
6.6752e+02,2.8332e+02
6.6766e+02,2.8578e+02
6.6781e+02,2.8824e+02
6.6784e+02,2.8878e+02
6.6795e+02,2.9070e+02
6.6810e+02,2.9317e+02
6.6824e+02,2.9563e+02
6.6839e+02,2.9809e+02
6.6858e+02,3.0055e+02
6.6891e+02,3.0302e+02
6.6925e+02,3.0548e+02
6.6959e+02,3.0794e+02
6.6993e+02,3.1040e+02
6.7027e+02,3.1286e+02
6.7061e+02,3.1533e+02
6.7095e+02,3.1779e+02
6.7129e+02,3.2025e+02
6.7163e+02,3.2271e+02
6.7197e+02,3.2518e+02
6.7231e+02,3.2764e+02
6.7265e+02,3.3010e+02
6.7299e+02,3.3256e+02
6.7333e+02,3.3503e+02
6.7366e+02,3.3749e+02
6.7387e+02,3.3897e+02
6.7400e+02,3.3995e+02
6.7434e+02,3.4241e+02
6.7468e+02,3.4487e+02
6.7502e+02,3.4734e+02
6.7536e+02,3.4980e+02
6.7570e+02,3.5226e+02
6.7604e+02,3.5472e+02
6.7638e+02,3.5719e+02
6.7672e+02,3.5965e+02
6.7706e+02,3.6211e+02
6.7740e+02,3.6457e+02
6.7774e+02,3.6704e+02
6.7808e+02,3.6950e+02
6.7842e+02,3.7196e+02
6.7874e+02,3.7442e+02
6.7904e+02,3.7688e+02
6.7938e+02,3.7935e+02
6.7950e+02,3.8181e+02
6.7956e+02,3.8427e+02
6.7962e+02,3.8673e+02
